county,country,category,time_period,anonymized_segment,segment_size,clicks,likes,comments,shares,saves,views,searches,hashtags,mentions,complaints,purchase_intent_phrases,repeated_engagement,ignored_content,delayed_responses,text,sentiment_label,purchase_intent_label,urgency_label,dissatisfaction_label,topic_label,demand_classification,behavioral_signal_score_target,aggregate_demand_score_target,opportunity_score_target,emerging_trend_target,unmet_demand_target,market_gap_target,trend_direction_label,value_proposition_label,product_service_label,revenue_model_label,supplier_recommendation_label,logistics_recommendation_label,payment_recommendation_label,market_entry_strategy_label,competitor_gap_label,price_gap_label,service_gap_label,delivery_gap_label,customer_dissatisfaction_label,pricing_power_target,customer_reach_target,inventory_planning_target,sales_forecast_target
Nairobi,Kenya,agri_inputs,2026-Q1,budget_seekers,226,62,32,5,8,12,1158,51,7,10,0,4,16,76,0,"aggregate mentions show farm inputs, seed quality, fertilizer access, harvest timing in Nairobi; budget_seekers are researching options; complaints about unmet need and delays",1,0,0,1,agri_inputs,Unmet demand,0.1453,0.4758,0.5985,0.5985,1.0,1.0,stable,accessible agri inputs with faster fulfillment,bundled input ordering service,transaction_fee,multi-supplier marketplace,same day courier,pay in installments,partner-led entry for agri inputs in underserved Nairobi,weak fulfillment in agri inputs,high affordability gap in agri inputs,major service availability gap in agri inputs,speed and reliability gap in Nairobi,high_dissatisfaction,0.2617,0.2743,0.0579,0.428
Nairobi,Kenya,agri_inputs,2026-Q1,growth_smes,258,137,29,20,12,9,1644,67,4,7,2,8,40,30,1,"county trend indicates farm inputs, seed quality, fertilizer access, harvest timing in Nairobi; growth_smes are researching options; positive service discovery",1,0,0,1,agri_inputs,Moderate demand,0.1781,0.6022,0.442,0.442,0.2943,0.2943,stable,trusted agri inputs with transparent pricing,verified input marketplace,transaction_fee,multi-supplier marketplace,same day courier,invoice and wallet rails,pilot and validate agri inputs demand in Nairobi,service differentiation needed in agri inputs,moderate pricing transparency gap in agri inputs,low service gap in agri inputs,speed and reliability gap in Nairobi,moderate_dissatisfaction,0.5225,0.531,0.0511,0.4019
Nairobi,Kenya,agri_inputs,2026-Q1,urban_youth,228,171,59,8,21,21,3004,50,6,11,0,3,62,49,0,"anonymous posts discuss farm inputs, seed quality, fertilizer access, harvest timing in Nairobi; urban_youth are researching options; positive service discovery",1,0,0,1,agri_inputs,Moderate demand,0.1295,0.5871,0.4556,0.4556,0.3832,0.3832,stable,trusted agri inputs with transparent pricing,verified input marketplace,transaction_fee,multi-supplier marketplace,same day courier,mobile money checkout,pilot and validate agri inputs demand in Nairobi,pricing transparency gap in agri inputs,moderate pricing transparency gap in agri inputs,service quality gap in agri inputs,speed and reliability gap in Nairobi,moderate_dissatisfaction,0.4858,0.75,0.0246,0.4185
Nairobi,Kenya,agri_inputs,2026-Q1,rural_producers,186,95,43,14,7,18,1085,29,3,2,1,5,10,108,1,"county trend indicates farm inputs, seed quality, fertilizer access, harvest timing in Nairobi; rural_producers are researching options; complaints about unmet need and delays",1,1,0,1,agri_inputs,Unmet demand,0.1862,0.5351,0.6156,0.6156,1.0,1.0,stable,accessible agri inputs with faster fulfillment,bundled input ordering service,transaction_fee,multi-supplier marketplace,same day courier,mobile money checkout,partner-led entry for agri inputs in underserved Nairobi,weak fulfillment in agri inputs,high affordability gap in agri inputs,major service availability gap in agri inputs,speed and reliability gap in Nairobi,high_dissatisfaction,0.2943,0.5108,0.0479,0.485
Nairobi,Kenya,clean_energy,2026-Q1,budget_seekers,301,275,64,31,8,32,2934,79,14,12,0,11,28,296,3,"county trend indicates solar kits, reliable power, repair support, battery replacement in Nairobi; budget_seekers are ready to buy and compare suppliers; complaints about unmet need and delays",1,1,0,1,clean_energy,Unmet demand,0.1715,0.4746,0.6045,0.6045,1.0,1.0,stable,accessible clean energy with faster fulfillment,solar maintenance network,subscription,certified specialist suppliers,same day courier,pay in installments,partner-led entry for clean energy in underserved Nairobi,weak fulfillment in clean energy,high affordability gap in clean energy,major service availability gap in clean energy,last mile delivery gap in Nairobi,high_dissatisfaction,0.261,0.9136,0.0416,0.4196
Nairobi,Kenya,clean_energy,2026-Q1,growth_smes,105,92,45,16,3,16,1043,26,2,6,0,1,8,90,1,"anonymous posts discuss solar kits, reliable power, repair support, battery replacement in Nairobi; growth_smes are researching options; complaints about unmet need and delays",1,0,0,1,clean_energy,Unmet demand,0.1916,0.5477,0.6384,0.6384,1.0,1.0,stable,accessible clean energy with faster fulfillment,solar maintenance network,subscription,certified specialist suppliers,same day courier,invoice and wallet rails,partner-led entry for clean energy in underserved Nairobi,weak fulfillment in clean energy,high affordability gap in clean energy,major service availability gap in clean energy,last mile delivery gap in Nairobi,high_dissatisfaction,0.3013,0.8762,0.0412,0.5143
Nairobi,Kenya,clean_energy,2026-Q1,urban_youth,273,273,133,14,28,23,3022,98,12,10,1,7,30,43,0,"aggregate mentions show solar kits, reliable power, repair support, battery replacement in Nairobi; urban_youth are researching options; positive service discovery",1,0,0,0,clean_energy,Moderate demand,0.1931,0.6993,0.483,0.483,0.2146,0.2146,stable,trusted clean energy with transparent pricing,pay as you go solar kits,transaction_fee,certified specialist suppliers,same day courier,mobile money checkout,pilot and validate clean energy demand in Nairobi,service differentiation needed in clean energy,limited price gap in clean energy,low service gap in clean energy,speed and reliability gap in Nairobi,low_dissatisfaction,0.6318,1.0,0.0424,0.5148
Nairobi,Kenya,clean_energy,2026-Q1,rural_producers,102,60,31,5,5,7,1083,46,8,5,0,5,8,98,0,"county trend indicates solar kits, reliable power, repair support, battery replacement in Nairobi; rural_producers are researching options; complaints about unmet need and delays",1,0,0,1,clean_energy,Unmet demand,0.1471,0.5158,0.6591,0.6591,1.0,1.0,stable,accessible clean energy with faster fulfillment,solar maintenance network,subscription,certified specialist suppliers,same day courier,mobile money checkout,partner-led entry for clean energy in underserved Nairobi,weak fulfillment in clean energy,high affordability gap in clean energy,major service availability gap in clean energy,speed and reliability gap in Nairobi,high_dissatisfaction,0.2837,0.5882,0.0536,0.5159
Nairobi,Kenya,digital_services,2026-Q1,budget_seekers,159,201,92,36,17,32,1569,72,10,12,3,12,32,138,2,"county trend indicates online payments, analytics dashboards, mobile onboarding in Nairobi; budget_seekers are ready to buy and compare suppliers; complaints about unmet need and delays",1,1,0,1,digital_services,Unmet demand,0.3054,0.5513,0.6275,0.6275,0.8447,0.8447,stable,accessible digital services with faster fulfillment,SME analytics assistant,subscription,certified specialist suppliers,same day courier,pay in installments,partner-led entry for digital services in underserved Nairobi,weak fulfillment in digital services,high affordability gap in digital services,major service availability gap in digital services,speed and reliability gap in Nairobi,high_dissatisfaction,0.3417,1.0,0.0739,0.4577
Nairobi,Kenya,digital_services,2026-Q1,growth_smes,100,67,15,11,7,4,927,75,11,14,0,14,28,31,0,"county trend indicates online payments, analytics dashboards, mobile onboarding in Nairobi; growth_smes are ready to buy and compare suppliers; complaints about unmet need and delays",1,1,0,1,digital_services,High demand,0.2241,0.7649,0.6955,0.6955,0.5564,0.5564,stable,accessible digital services with faster fulfillment,SME analytics assistant,subscription,certified specialist suppliers,same day courier,invoice and wallet rails,digital-first launch for digital services in Nairobi,pricing transparency gap in digital services,moderate pricing transparency gap in digital services,service quality gap in digital services,speed and reliability gap in Nairobi,moderate_dissatisfaction,0.5734,0.67,0.1003,0.8044
