signal_id,country,county,category,consumer_segment,time_period,observation_count,text,clicks,likes,comments,shares,saves,views,searches,hashtags,mentions,complaints,purchase_intent_phrases,repeated_engagement,ignored_content,delayed_responses,demand_classification,aggregate_demand_score,opportunity_score,emerging_trend_probability,unmet_demand_probability,market_gap,supply_shortage,scalability,competition_intensity,trend_direction
agg-00001,Kenya,Nairobi,agri_inputs,budget_seekers,2026-Q1,307,aggregate posts mention seed quality fertilizer access harvest timing farm input supply in Nairobi; budget_seekers are searching and evaluating options; complaints delays and unmet need,207,110,33,28,31,2711,73,10,18,7,6,41,203,0,Low demand,0.4099,0.5796,0.5796,1.0,1.0,0.9421,0.9536,0.5171,stable
agg-00002,Kenya,Nairobi,agri_inputs,growth_smes,2026-Q1,301,anonymous hashtags show seed quality fertilizer access harvest timing farm input supply in Nairobi; growth_smes are ready to buy comparing suppliers; complaints delays and unmet need,280,76,49,39,51,3688,221,30,19,3,38,53,133,2,Moderate demand,0.6605,0.6489,0.6489,0.5872,0.5872,0.6505,1.0,0.6239,stable
agg-00003,Kenya,Nairobi,agri_inputs,urban_youth,2026-Q1,286,anonymous hashtags show seed quality fertilizer access harvest timing farm input supply in Nairobi; urban_youth are ready to buy comparing suppliers; complaints delays and unmet need,181,71,19,7,23,2218,139,21,24,3,12,34,204,1,Unmet demand,0.551,0.692,0.692,1.0,1.0,1.0,1.0,0.6019,stable
agg-00004,Kenya,Nairobi,agri_inputs,rural_producers,2026-Q1,317,anonymous hashtags show seed quality fertilizer access harvest timing farm input supply in Nairobi; rural_producers are ready to buy comparing suppliers; complaints delays and unmet need,185,75,19,16,15,3703,171,26,28,2,34,60,231,1,Unmet demand,0.5213,0.6873,0.6873,1.0,1.0,1.0,1.0,0.57,stable
agg-00005,Kenya,Nairobi,clean_energy,budget_seekers,2026-Q1,255,county-level comments discuss solar kits battery replacement repair support reliable power in Nairobi; budget_seekers are searching and evaluating options; complaints delays and unmet need,119,33,5,12,17,1833,82,11,14,1,6,22,119,0,Unmet demand,0.4896,0.6329,0.6329,1.0,1.0,1.0,1.0,0.6195,stable
agg-00006,Kenya,Nairobi,clean_energy,growth_smes,2026-Q1,100,aggregate posts mention solar kits battery replacement repair support reliable power in Nairobi; growth_smes are searching and evaluating options; positive discovery and saves,112,60,8,15,8,878,37,6,9,0,8,21,23,0,Moderate demand,0.64,0.4651,0.4651,0.2683,0.2683,0.2782,1.0,0.3965,stable
agg-00007,Kenya,Nairobi,clean_energy,urban_youth,2026-Q1,92,aggregate posts mention solar kits battery replacement repair support reliable power in Nairobi; urban_youth are searching and evaluating options; complaints delays and unmet need,68,15,3,6,6,987,51,5,3,0,8,24,68,0,Unmet demand,0.6047,0.7301,0.7301,1.0,1.0,1.0,1.0,0.4316,stable
agg-00008,Kenya,Nairobi,clean_energy,rural_producers,2026-Q1,308,county-level comments discuss solar kits battery replacement repair support reliable power in Nairobi; rural_producers are ready to buy comparing suppliers; complaints delays and unmet need,163,38,9,20,23,1991,114,13,11,1,12,52,98,0,Unmet demand,0.5404,0.6,0.6,0.8058,0.8058,0.8551,1.0,0.6501,stable
agg-00009,Kenya,Nairobi,digital_services,budget_seekers,2026-Q1,293,county-level comments discuss online payments analytics dashboard mobile onboarding in Nairobi; budget_seekers are ready to buy comparing suppliers; complaints delays and unmet need,103,30,5,14,14,1705,126,9,22,0,11,20,151,0,Unmet demand,0.4632,0.6398,0.6398,1.0,1.0,0.9268,1.0,0.4429,stable
agg-00010,Kenya,Nairobi,digital_services,growth_smes,2026-Q1,74,county-level comments discuss online payments analytics dashboard mobile onboarding in Nairobi; growth_smes are searching and evaluating options; positive discovery and saves,143,35,19,19,9,845,40,7,7,1,4,60,15,0,High demand,0.8236,0.5397,0.5397,0.1383,0.1383,0.2319,1.0,0.4466,stable
agg-00011,Kenya,Nairobi,digital_services,urban_youth,2026-Q1,287,anonymous hashtags show online payments analytics dashboard mobile onboarding in Nairobi; urban_youth are ready to buy comparing suppliers; complaints delays and unmet need,386,128,40,26,48,2771,65,12,15,5,14,61,205,2,Unmet demand,0.6462,0.5878,0.5878,0.6967,0.6967,0.6828,1.0,0.6201,stable
agg-00012,Kenya,Nairobi,digital_services,rural_producers,2026-Q1,143,aggregate posts mention online payments analytics dashboard mobile onboarding in Nairobi; rural_producers are searching and evaluating options; positive discovery and saves,204,48,24,20,27,2179,33,5,6,2,3,38,56,0,Moderate demand,0.6444,0.4719,0.4719,0.3561,0.3561,0.4324,1.0,0.5134,stable
agg-00013,Kenya,Nairobi,retail,budget_seekers,2026-Q1,80,county-level comments discuss fair prices product availability delivery reliability in Nairobi; budget_seekers are searching and evaluating options; complaints delays and unmet need,43,10,5,3,3,567,27,2,3,0,1,5,76,0,Low demand,0.3741,0.5803,0.5803,1.0,1.0,1.0,0.7167,0.4595,stable
agg-00014,Kenya,Nairobi,retail,growth_smes,2026-Q1,98,anonymous hashtags show fair prices product availability delivery reliability in Nairobi; growth_smes are searching and evaluating options; complaints delays and unmet need,94,49,8,11,14,964,42,6,11,0,3,18,96,0,Unmet demand,0.5547,0.6834,0.6834,1.0,1.0,0.9948,1.0,0.6579,stable
agg-00015,Kenya,Nairobi,retail,urban_youth,2026-Q1,199,county-level comments discuss fair prices product availability delivery reliability in Nairobi; urban_youth are searching and evaluating options; complaints delays and unmet need,154,69,15,5,25,2218,49,10,11,0,7,22,230,1,Unmet demand,0.4823,0.6158,0.6158,1.0,1.0,0.9595,0.9076,0.664,stable
agg-00016,Kenya,Nairobi,retail,rural_producers,2026-Q1,112,anonymous hashtags show fair prices product availability delivery reliability in Nairobi; rural_producers are searching and evaluating options; complaints delays and unmet need,16,4,2,1,0,423,34,3,5,0,3,1,15,0,Low demand,0.3964,0.5849,0.5849,1.0,1.0,1.0,0.9103,0.5453,stable
agg-00017,Kenya,Nairobi,transport,budget_seekers,2026-Q1,125,anonymous hashtags show route reliability parcel tracking last mile access in Nairobi; budget_seekers are searching and evaluating options; complaints delays and unmet need,25,9,2,3,1,675,48,3,5,0,8,6,65,0,Unmet demand,0.4723,0.6358,0.6358,1.0,1.0,1.0,0.9723,0.573,stable
agg-00018,Kenya,Nairobi,transport,growth_smes,2026-Q1,174,anonymous hashtags show route reliability parcel tracking last mile access in Nairobi; growth_smes are ready to buy comparing suppliers; positive discovery and saves,171,73,27,24,34,1311,52,11,14,2,9,26,48,1,Moderate demand,0.5568,0.4437,0.4437,0.3606,0.3606,0.3721,1.0,0.6372,stable
agg-00019,Kenya,Nairobi,transport,urban_youth,2026-Q1,209,anonymous hashtags show route reliability parcel tracking last mile access in Nairobi; urban_youth are searching and evaluating options; complaints delays and unmet need,147,34,24,21,27,1287,119,20,28,3,8,28,85,0,Unmet demand,0.6282,0.649,0.649,0.7205,0.7205,0.6606,1.0,0.5396,stable
agg-00020,Kenya,Nairobi,transport,rural_producers,2026-Q1,207,aggregate posts mention route reliability parcel tracking last mile access in Nairobi; rural_producers are searching and evaluating options; positive discovery and saves,251,80,43,23,39,1838,43,5,3,6,4,36,37,2,Moderate demand,0.5706,0.3841,0.3841,0.2143,0.2143,0.1667,1.0,0.5416,stable
agg-00021,Kenya,Mombasa,agri_inputs,budget_seekers,2026-Q1,248,aggregate posts mention seed quality fertilizer access harvest timing farm input supply in Mombasa; budget_seekers are searching and evaluating options; complaints delays and unmet need,77,14,9,6,8,964,87,17,23,2,4,11,43,0,Low demand,0.3966,0.5026,0.5026,0.7326,0.7326,0.6582,0.7499,0.5382,stable
agg-00022,Kenya,Mombasa,agri_inputs,growth_smes,2026-Q1,51,county-level comments discuss seed quality fertilizer access harvest timing farm input supply in Mombasa; growth_smes are searching and evaluating options; complaints delays and unmet need,30,8,3,3,2,612,10,1,0,0,0,4,23,0,Unmet demand,0.5283,0.6206,0.6206,0.9758,0.9758,1.0,1.0,0.5029,stable
agg-00023,Kenya,Mombasa,agri_inputs,urban_youth,2026-Q1,283,county-level comments discuss seed quality fertilizer access harvest timing farm input supply in Mombasa; urban_youth are ready to buy comparing suppliers; complaints delays and unmet need,273,56,48,34,49,3508,76,12,8,4,11,45,305,3,Unmet demand,0.5476,0.6512,0.6512,1.0,1.0,1.0,1.0,0.5712,stable
agg-00024,Kenya,Mombasa,agri_inputs,rural_producers,2026-Q1,228,anonymous hashtags show seed quality fertilizer access harvest timing farm input supply in Mombasa; rural_producers are searching and evaluating options; complaints delays and unmet need,97,47,11,5,11,1762,66,11,10,1,3,10,217,0,Low demand,0.3908,0.5797,0.5797,1.0,1.0,1.0,0.8101,0.6106,stable
agg-00025,Kenya,Mombasa,clean_energy,budget_seekers,2026-Q1,113,anonymous hashtags show solar kits battery replacement repair support reliable power in Mombasa; budget_seekers are searching and evaluating options; complaints delays and unmet need,43,17,4,4,4,561,29,1,6,0,3,8,63,0,Low demand,0.4353,0.5951,0.5951,1.0,1.0,0.962,0.8866,0.4581,stable
agg-00026,Kenya,Mombasa,clean_energy,growth_smes,2026-Q1,138,county-level comments discuss solar kits battery replacement repair support reliable power in Mombasa; growth_smes are searching and evaluating options; positive discovery and saves,78,21,6,8,8,674,82,10,21,0,5,12,12,0,Moderate demand,0.6724,0.4977,0.4977,0.2,0.2,0.1853,1.0,0.5675,stable
agg-00027,Kenya,Mombasa,clean_energy,urban_youth,2026-Q1,239,anonymous hashtags show solar kits battery replacement repair support reliable power in Mombasa; urban_youth are searching and evaluating options; complaints delays and unmet need,124,47,5,5,12,1115,57,7,11,0,5,27,84,0,Unmet demand,0.5513,0.6175,0.6175,0.9116,0.9116,0.8583,0.9724,0.6027,stable
